feedstock	freed_login	new_login
koalas-feedstock	xinrong-databricks	
pyomo.extras-feedstock	Juanlu001	astrojuanlu
datefinder-feedstock	melonhead901	
yellowbrick-feedstock	melonhead901	
entrypoint2-feedstock	melonhead901	
puma-feedstock	fsemerar	fedesemeraro
python-patch-feedstock	windelbouwmanbosch	
pyhum-feedstock	dbuscombe-usgs	
tsne-feedstock	WiscEvan	evanroyrees
aim-feedstock	gorarakelyan	
pyweed-feedstock	adam-iris	adam-earthscope
speedtest-cli-feedstock	gacallea	
zbarlight-feedstock	kdmurray91	kdm9
pytorch-model-summary-feedstock	fishyai	fishbotics
similaritymeasures-feedstock	melonhead901	
r-crf-feedstock	Chris-Lowe-Integrity	
ferret_datasets-feedstock	josborne-noaa	
pycaret-feedstock	melonhead901	
edrixs-feedstock	thomashopkins32	
r-kfas-feedstock	melonhead901	
redo-feedstock	mozbhearsum	
esmvaltool-python-feedstock	jvegasbsc	
r-loader-feedstock	mor427unican	
jproperties-feedstock	melonhead901	
chfem-feedstock	fsemerar	fedesemeraro
pymove-feedstock	flych3r	mxaviersmp
unrar-feedstock	melonhead901	
opacus-feedstock	ffuuugor	
rauth-feedstock	tizzir	
modflowapi-feedstock	jdhughes-usgs	jdhughes-dev
sqlobject-feedstock	windelbouwmanbosch	
sphericaltexture-feedstock	oanegros	
planetaryimage-feedstock	pbvarga1	
epiweeks4cf-feedstock	jdhughes-usgs	jdhughes-dev
pyfoomb-feedstock	Beaker034	
waybackpy-feedstock	labriunesp	
hera-workflows-feedstock	sagiahrac	
sisppeo-feedstock	pierre-manchon	
asyncinit-feedstock	vladsaveliev	vladsavelyev
pytrack-feedstock	mtortora-ai	
pyemojify-feedstock	hellothisisMatt	
entropy-feedstock	PackageCondaDataScience	
pyet-feedstock	savente93	
genv-feedstock	razrotenberg	
gis-utils-feedstock	jdhughes-usgs	jdhughes-dev
blackboxauditing-feedstock	pavelgrib	
modflow-export-feedstock	jdhughes-usgs	jdhughes-dev
compas_cloud-feedstock	brgcode	tomvanmele
tjpcov-feedstock	mattkwiecien	
watex-feedstock	WEgeophysics	earthai-tech
pylbl-feedstock	menzel-gfdl	
pettingzoo-feedstock	melonhead901	
jupyterlab_genv-feedstock	razrotenberg	
hyram-feedstock	bdehrha	
factor-analyzer-feedstock	melonhead901	
pymove-osmnx-feedstock	flych3r	mxaviersmp
census-parquet-feedstock	drstewart19	dylanrstewart
predictr-feedstock	melonhead901	
amazon-codewhisperer-jupyterlab-ext-feedstock	dhanainme	
kaggle-environments-feedstock	melonhead901	
quantizer-feedstock	ulrichtsblr	
dasbus-feedstock	Stig124	
lofo-importance-feedstock	melonhead901	
simple-gcp-object-downloader-feedstock	madhur-ob	
metaflow-stubs-feedstock	madhur-ob	
chessnut-feedstock	melonhead901	
ml4xcube-feedstock	Julia310	
jwskate-feedstock	melonhead901	
timescoring-feedstock	danjjl	
requests_oauth2client-feedstock	melonhead901	
fastreg-feedstock	corentinlelannier	
defillama-curl-feedstock	the-praxs	
binapy-feedstock	melonhead901	
napari-file-watcher-feedstock	kasasxav	
nodimo-feedstock	rodrigopcastro018	
simple-azure-blob-downloader-feedstock	madhur-ob	
oneworld-feedstock	taguilar	
piano_fingering-feedstock	betofraus	jafraustro
ptac-feedstock	serrayos	
pds.api-client-feedstock	collinss-jpl	sdcolli1
tangods-mcmax-feedstock	Bartarian	A-Barta
xymol-feedstock	hhaootian	
pds.peppi-feedstock	collinss-jpl	sdcolli1
rocketpy-feedstock	LUCKIN13	
aicsimageio-feedstock	SeanLeRoy	
caterva-feedstock	aleix11alcacer	
adept-feedstock	arghdos	
bakelite-feedstock	brendan0powers	
aws-amicleaner-feedstock	ct-hbk	ctovar-hbk
awxkit-feedstock	gacallea	
aim-ui-feedstock	gorarakelyan	
aimrocks-feedstock	gorarakelyan	
hopcroftkarp-feedstock	henrik227	
brainbox-ibl-feedstock	jaib1	
wand-feedstock	melonhead901	
aws-amicleaner-feedstock	nm-hbk	ctovar-hbk
hoomd-dlext-feedstock	pabloferz	
django-modelcluster-feedstock	rxm7708	
hydromt-feedstock	savente93	
bhklab-project-template-feedstock	strixy16	
pyiron_dft-feedstock	sudarsan1989	
pyiron_example_job-feedstock	sudarsan1989	
caustics-feedstock	uwcdc	
